2026-05-16 12:12:20.221075 | 3.233.158.121 -> 192.168.1.7 | TCP
2026-05-16 12:12:22.985445 | 20.189.173.17 -> 192.168.1.7 | TCP
2026-05-16 12:12:22.990470 | 192.168.1.7 -> 20.189.173.17 | TCP
2026-05-16 12:12:23.305344 | 20.189.173.17 -> 192.168.1.7 | TCP
2026-05-16 12:12:23.307636 | 20.189.173.17 -> 192.168.1.7 | TCP
2026-05-16 12:12:23.309672 | 192.168.1.7 -> 20.189.173.17 | TCP
2026-05-16 12:12:23.313677 | 192.168.1.7 -> 20.189.173.17 | TCP
2026-05-16 12:12:23.321393 | 3.233.158.119 -> 192.168.1.7 | TCP
2026-05-16 12:12:23.536175 | 20.189.173.17 -> 192.168.1.7 | TCP
2026-05-16 12:12:23.539513 | 20.189.173.17 -> 192.168.1.7 | TCP
2026-05-16 12:12:23.544347 | 20.189.173.17 -> 192.168.1.7 | TCP
2026-05-16 12:12:23.552617 | 192.168.1.7 -> 20.189.173.17 | TCP
2026-05-16 12:12:23.557473 | 192.168.1.7 -> 20.189.173.17 | TCP
2026-05-16 12:12:23.561012 | 192.168.1.7 -> 20.189.173.17 | TCP
2026-05-16 12:12:23.669619 | 192.168.1.7 -> 142.251.154.119 | UDP
2026-05-16 12:12:23.736324 | 142.251.154.119 -> 192.168.1.7 | UDP
2026-05-16 12:12:23.758231 | 20.189.173.17 -> 192.168.1.7 | TCP
2026-05-16 12:12:26.306427 | 3.233.158.121 -> 192.168.1.7 | TCP
2026-05-16 12:12:26.806775 | 3.233.158.118 -> 192.168.1.7 | TCP
2026-05-16 12:12:27.223340 | 104.18.39.21 -> 192.168.1.7 | TCP
2026-05-16 12:12:27.225291 | 192.168.1.7 -> 104.18.39.21 | TCP
2026-05-16 12:12:27.248164 | 104.18.39.21 -> 192.168.1.7 | TCP
2026-05-16 12:12:27.353323 | 3.233.158.119 -> 192.168.1.7 | TCP
2026-05-16 12:12:29.643922 | 192.168.1.1 -> 224.0.0.1 | Other
2026-05-16 12:12:29.707540 | 192.168.1.7 -> 224.0.0.22 | Other
2026-05-16 12:12:30.130499 | 192.168.1.7 -> 104.18.39.21 | TCP
2026-05-16 12:12:30.143474 | 192.168.1.7 -> 8.8.8.8 | UDP
2026-05-16 12:12:30.149344 | 192.168.1.7 -> 8.8.8.8 | UDP
2026-05-16 12:12:30.154272 | 192.168.1.7 -> 8.8.8.8 | UDP
2026-05-16 12:12:30.161425 | 104.18.39.21 -> 192.168.1.7 | TCP
2026-05-16 12:12:30.165086 | 8.8.8.8 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.187155 | 8.8.8.8 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.194723 | 8.8.8.8 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.198761 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.205491 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.226581 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.229534 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.232703 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.240769 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.251190 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.259801 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.263816 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.266715 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.275188 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.278162 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.282495 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.286336 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.293018 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.297428 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.301436 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.305151 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.311324 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.315669 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.320502 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.327496 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.332899 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.338178 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.345393 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.351969 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.359248 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.367024 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.374225 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.381677 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.387136 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.395197 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.399817 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.405915 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.412966 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.530431 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.556481 | 104.18.39.21 -> 192.168.1.7 | TCP
2026-05-16 12:12:30.562273 | 192.168.1.7 -> 104.18.39.21 | TCP
2026-05-16 12:12:30.573400 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.597580 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.601372 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.611087 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.616134 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.624747 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.860709 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.874715 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.881055 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:30.890949 | 104.18.32.47 -> 192.168.1.7 | UDP
2026-05-16 12:12:30.913481 | 192.168.1.7 -> 104.18.32.47 | UDP
2026-05-16 12:12:31.159144 | 192.168.1.7 -> 142.251.222.138 | UDP
2026-05-16 12:12:31.210673 | 142.251.222.138 -> 192.168.1.7 | UDP
2026-05-16 12:12:32.136508 | 192.168.1.7 -> 52.168.112.67 | TCP
2026-05-16 12:12:32.146496 | 192.168.1.7 -> 52.168.112.67 | TCP
2026-05-16 12:12:32.398525 | 52.168.112.67 -> 192.168.1.7 | TCP
2026-05-16 12:12:32.401472 | 52.168.112.67 -> 192.168.1.7 | TCP
2026-05-16 12:12:32.498939 | 52.168.112.67 -> 192.168.1.7 | TCP
2026-05-16 12:12:32.504898 | 192.168.1.7 -> 52.168.112.67 | TCP
2026-05-16 12:12:32.805718 | 52.168.112.67 -> 192.168.1.7 | TCP
2026-05-16 12:12:32.889963 | 192.168.1.7 -> 142.251.10.188 | TCP
2026-05-16 12:12:33.042708 | 192.168.1.7 -> 104.18.39.21 | TCP
2026-05-16 12:12:33.061468 | 104.18.39.21 -> 192.168.1.7 | TCP
2026-05-16 12:12:33.274706 | 104.18.39.21 -> 192.168.1.7 | TCP
2026-05-16 12:12:33.324141 | 192.168.1.7 -> 104.18.39.21 | TCP
2026-05-16 12:12:34.493575 | 3.233.158.121 -> 192.168.1.7 | TCP
2026-05-16 12:13:33.536826 | 192.168.1.7 -> 74.125.200.188 | TCP
2026-05-16 12:13:33.605072 | 74.125.200.188 -> 192.168.1.7 | TCP
2026-05-16 12:13:34.071814 | 98.70.192.224 -> 192.168.1.7 | TCP
2026-05-16 12:13:34.073732 | 98.70.192.224 -> 192.168.1.7 | TCP
2026-05-16 12:13:34.076589 | 192.168.1.7 -> 98.70.192.224 | TCP
2026-05-16 12:13:34.110823 | 192.168.1.7 -> 98.70.192.224 | TCP
2026-05-16 12:13:34.165158 | 98.70.192.224 -> 192.168.1.7 | TCP
2026-05-16 12:13:34.814940 | 3.233.158.49 -> 192.168.1.7 | TCP
13:14:53 | Packet #1 | 192.168.1.1 -> 224.0.0.1 | OTHER | 50 bytes
13:14:53 | Packet #2 | 20.42.73.31 -> 192.168.1.7 | TCP | 153 bytes
13:14:53 | Packet #3 | 192.168.1.7 -> 20.42.73.31 | TCP | 54 bytes
13:14:53 | Packet #4 | 192.168.1.7 -> 224.0.0.22 | OTHER | 70 bytes
13:14:54 | Packet #5 | 192.168.1.7 -> 20.42.73.31 | TCP | 172 bytes
13:14:54 | Packet #6 | 192.168.1.7 -> 20.42.73.31 | TCP | 5536 bytes
